@_fa,affiliation,article-number,citedby-count,dc:creator,dc:identifier,dc:title,eid,freetoread,freetoreadLabel,link,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:coverDisplayDate,prism:doi,prism:eIssn,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,source-id,subtype,subtypeDescription
true,"[{'@_fa': 'true', 'affilname': 'K L Deemed to be University', 'affiliation-city': 'Vaddeswaram', 'affiliation-country': 'India'}]",17148,7,Shareef S.K.,SCOPUS_ID:85199805500,Enhanced botnet detection in IoT networks using zebra optimization and dual-channel GAN classification,2-s2.0-85199805500,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85199805500'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85199805500?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199805500&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85199805500&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.1038/s41598-024-67865-2,20452322,,,1,,Scientific Reports,https://api.elsevier.com/content/abstract/scopus_id/85199805500,14,39060369,21100200805,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Prince Sattam Bin Abdulaziz University', 'affiliation-city': 'Al Kharj', 'affiliation-country': 'Saudi Arabia'}]",89,6,Binbusayyis A.,SCOPUS_ID:85193055112,A deep learning approach for prediction of air quality index in smart city,2-s2.0-85193055112,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85193055112'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85193055112?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193055112&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193055112&origin=inward'}]",1,True,,Journal,2024-12-01,December 2024,10.1007/s43621-024-00272-9,26629984,,,1,,Discover Sustainability,https://api.elsevier.com/content/abstract/scopus_id/85193055112,5,,21101138720,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'State Key Laboratory of Internet of Things for Smart City', 'affiliation-city': 'Taipa', 'affiliation-country': 'Macao'}]",100116,24,Liao H.,SCOPUS_ID:85185594715,GPT-4 enhanced multimodal grounding for autonomous driving: Leveraging cross-modal attention with large language models,2-s2.0-85185594715,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85185594715'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85185594715?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185594715&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185594715&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2772424723000276'}]",1,True,S2772424723000276,Journal,2024-12-01,December 2024,10.1016/j.commtr.2023.100116,27724247,,,,,Communications in Transportation Research,https://api.elsevier.com/content/abstract/scopus_id/85185594715,4,,21101092899,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'University of Washington', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}]",,0,Han B.,SCOPUS_ID:85215132750,Towards Zero-Shot Annotation of the Built Environment with Vision-Language Models,2-s2.0-85215132750,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215132750'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215132750?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215132750&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85215132750&origin=inward'}]",0,False,,Conference Proceeding,2024-11-22,22 November 2024,10.1145/3678717.3691296,,"[{'@_fa': 'true', '$': '[9798400711077]'}]",,,601-604,"32nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL 2024",https://api.elsevier.com/content/abstract/scopus_id/85215132750,,,21101269655,cp,Conference Paper
true,"[{'@_fa': 'true', 'affilname': 'UNT College of Engineering', 'affiliation-city': 'Denton', 'affiliation-country': 'United States'}]",,1,Yu C.,SCOPUS_ID:85215081956,Harnessing LLMs for Cross-City OD Flow Prediction,2-s2.0-85215081956,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215081956'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85215081956?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215081956&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85215081956&origin=inward'}]",0,False,,Conference Proceeding,2024-11-22,22 November 2024,10.1145/3678717.3691308,,"[{'@_fa': 'true', '$': '[9798400711077]'}]",,,384-395,"32nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL 2024",https://api.elsevier.com/content/abstract/scopus_id/85215081956,,,21101269655,cp,Conference Paper
true,"[{'@_fa': 'true', 'affilname': 'Nagoya University', 'affiliation-city': 'Nagoya', 'affiliation-country': 'Japan'}]",7323,1,Ge M.,SCOPUS_ID:85210586692,Multimodal Trajectory Prediction for Diverse Vehicle Types in Autonomous Driving with Heterogeneous Data and Physical Constraints,2-s2.0-85210586692,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85210586692'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85210586692?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210586692&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85210586692&origin=inward'}]",1,True,,Journal,2024-11-01,November 2024,10.3390/s24227323,14248220,,,22,,Sensors,https://api.elsevier.com/content/abstract/scopus_id/85210586692,24,39599100,130124,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Portucalense University', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}]",9844,0,Pinho M.,SCOPUS_ID:85210267093,AI-Enhanced Strategies to Ensure New Sustainable Destination Tourism Trends Among the 27 European Union Member States,2-s2.0-85210267093,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85210267093'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85210267093?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210267093&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85210267093&origin=inward'}]",1,True,,Journal,2024-11-01,November 2024,10.3390/su16229844,20711050,,,22,,Sustainability (Switzerland),https://api.elsevier.com/content/abstract/scopus_id/85210267093,16,,21100240100,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",107299,1,Wang B.,SCOPUS_ID:85205570650,Spatial–Temporal Similarity Fusion Graph Adversarial Convolutional Networks for traffic flow forecasting,2-s2.0-85205570650,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85205570650'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85205570650?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205570650&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85205570650&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0016003224007208'}]",0,False,S0016003224007208,Journal,2024-11-01,November 2024,10.1016/j.jfranklin.2024.107299,,,00160032,17,,Journal of the Franklin Institute,https://api.elsevier.com/content/abstract/scopus_id/85205570650,361,,27959,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Vellore Institute of Technology, Chennai', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",e2295,1,Om Kumar C.U.,SCOPUS_ID:85201365499,Intrusion Detection for Blockchain-Based Internet of Things Using Gaussian Mixture–Fully Convolutional Variational Autoencoder Model,2-s2.0-85201365499,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201365499'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201365499?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201365499&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201365499&origin=inward'}]",0,False,,Journal,2024-11-01,November/December 2024,10.1002/nem.2295,10991190,,10557148,6,,International Journal of Network Management,https://api.elsevier.com/content/abstract/scopus_id/85201365499,34,,19513,ar,Article
true,"[{'@_fa': 'true', 'affilname': 'Technische Universität Wien', 'affiliation-city': 'Vienna', 'affiliation-country': 'Austria'}]",,0,Burges M.,SCOPUS_ID:85211493063,Making Archives Searchable: Vision-Language Models for Classification of Historical Aerial Imagery,2-s2.0-85211493063,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211493063'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211493063?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211493063&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211493063&origin=inward'}]",0,False,,Conference Proceeding,2024-10-29,29 October 2024,10.1145/3681769.3698578,,"[{'@_fa': 'true', '$': '[9798400711480]'}]",,,1-8,GeoSearch 2024 - Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data,https://api.elsevier.com/content/abstract/scopus_id/85211493063,,,21101262973,cp,Conference Paper
true,"[{'@_fa': 'true', 'affilname': 'Tartu Ülikool', 'affiliation-city': 'Tartu', 'affiliation-country': 'Estonia'}]",,0,Zadegan A.A.,SCOPUS_ID:85211445716,Generative-AI based Map Representation and Localization,2-s2.0-85211445716,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}","[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211445716'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85211445716?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211445716&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211445716&origin=inward'}]",1,True,,Conference Proceeding,2024-10-29,29 October 2024,10.1145/3681780.3697276,,"[{'@_fa': 'true', '$': '[9798400711565]'}]",,,34-42,Urban-AI 2024 - Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Advances in Urban-AI,https://api.elsevier.com/content/abstract/scopus_id/85211445716,,,21101262971,cp,Conference Paper
true,"[{'@_fa': 'true', 'affilname': 'The University of Arizona', 'affiliation-city': 'Tucson', 'affiliation-country': 'United States'}]",,0,Fraser B.,SCOPUS_ID:85216477834,Richard Sennett on the user-friendly city and technology,2-s2.0-85216477834,,,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85216477834'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85216477834?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216477834&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85216477834&origin=inward'}]",0,False,,Journal,2024-10-01,1 October 2024,10.1386/jucs_00085_2,20509804,,20509790,2,143-148,Journal of Urban Cultural Studies,https://api.elsevier.com/content/abstract/scopus_id/85216477834,11,,21101037308,ed,Editorial
