doi,title,authors,introduction,contribution
10.1108/978-1-83608-852-320241010,Evaluating a global citizenship course on developing business students' AI literacy skills,Ching A.C.H.,"Nowadays, as organisations and companies increasingly harness the power of artificial intelligence (AI), there is a growing need to ensure future professionals in fields such as business and management can possess relevant necessary knowledge, skills, and mindset for navigating the ethical and social implications of AI technologies.","This study evaluated the effects of a specialised AI literacy course designed for business students at a university in Hong Kong. The course aimed to equip participants with a basic understanding of AI concepts via self-paced materials, hands-on activities, case study discussion, and design thinking activities. Through a mixed-methods approach involving evaluation surveys and student and teacher reflections, this case study examined how effectively the course developed the students' AI literacies as future business leaders and global digital citizens. AI competencies include understanding basic AI and generative AI (GenAI), using AI applications ethically, critically analysing AI-powered systems, identifying potential societal risks, and making data-driven decisions while upholding ethical principles. The findings provide valuable insights into the role of targeted AI education in preparing the next generation of business professionals for navigating the evolving data landscape and contributing to the responsible advancement of these transformative technologies."
10.3390/land13122178,Integrating Spatiotemporal and Travel-Related Information for Accurate Urban Passenger Profiling Using GANs,Duan X.,"The elaborate description of passenger travel profiles is of significant importance in urban planning, socioeconomic structural design, and individual travel preference analysis. Traditional models often lack consideration of personalized features and exhibit suboptimal performance in constructing spatiotemporal dependencies.","To address these issues, this paper proposes a method that integrates spatiotemporal information with travel-related information and employs generative adversarial networks (GANs) for adversarial training. This method accurately fits the true distribution of user travel data, thereby providing detailed profiles of public transportation passengers’ travel behavior. Specifically, the proposed approach considers the complete travel chain of individuals, establishes a spatiotemporal constraint representation model, and utilizes GANs to simulate the distribution of passenger travel, obtaining more compact and high-level travel vector features. The empirical results demonstrate that the proposed method accurately captures passengers’ travel patterns in both the temporal and spatial dimensions, offering technical support for urban transportation planning."
10.1145/3678717.3691308,Harnessing LLMs for Cross-City OD Flow Prediction,Yu C.,"Understanding and predicting Origin-Destination (OD) flows is crucial for urban planning and transportation management. Traditional OD prediction models, while effective within single cities, often face limitations when applied across different cities due to varied traffic conditions, urban layouts, and socio-economic factors.","In this paper, by employing Large Language Models (LLMs), we introduce a new method for cross-city OD flow prediction. Our approach leverages the advanced semantic understanding and contextual learning capabilities of LLMs to bridge the gap between cities with different characteristics, providing a robust and adaptable solution for accurate OD flow prediction that can be transferred from one city to another. Our novel framework involves four major components: collecting OD training datasets from a source city, instruction-tuning the LLMs, predicting destination POIs in a target city, and identifying the locations that best match the predicted destination POIs. We introduce a new loss function that integrates POI semantics and trip distance during training. By extracting high-quality semantic features from human mobility and POI data, the model understands spatial and functional relationships within urban spaces and captures interactions between individuals and various POIs. Extensive experimental results demonstrate the superiority of our approach over the state-of-the-art learning-based methods in cross-city OD flow prediction."
10.1016/j.jfranklin.2024.107299,Spatial–Temporal Similarity Fusion Graph Adversarial Convolutional Networks for traffic flow forecasting,Wang B.,Traffic flow forecasting is integral to the advancement of intelligent transportation systems and the development of smart cities.,"This paper introduces a novel model, the Spatial–Temporal Similarity Fusion Graphs Adversarial Convolutional Networks (STSF-GACN), which leverages advanced data preprocessing techniques to enhance the predictive accuracy and efficiency of traffic flow forecasting. The innovation of our approach lies in the meticulous construction of the spatial–temporal similarity matrix through the precise calculation of temporal and spatial similarities. This matrix forms the backbone of our model, serving as the generator in the integrated Generative Adversarial Network (GAN) architecture. The Spatial–Temporal Similarity Fusion Adaptive Graph Convolutional Network, developed as part of our GAN's generator, utilizes cutting-edge techniques such as the Wasserstein distance and Dynamic Time Warping to optimize the adaptive adjacency matrix, enabling the model to capture latent spatial–temporal correlations with unprecedented depth and precision. The discriminator of the GAN further refines the model by evaluating the accuracy of the traffic predictions, ensuring that the generative model produces results that are not only accurate but also robust against varying traffic conditions. This cohesive integration of GAN into the model architecture allows for a significant improvement in prediction accuracy and convergence speed, moving beyond traditional forecasting methods."
10.3390/s24175601,SpecRep: Adversary Emulation Based on Attack Objective Specification in Heterogeneous Infrastructures,Portase R.M.,"Cybercriminals have become an imperative threat because they target the most valuable resource on earth, data. Organizations prepare against cyber attacks by creating Cyber Security Incident Response Teams (CSIRTs) that use various technologies to monitor and detect threats and to help perform forensics on machines and networks. Testing the limits of defense technologies and the skill of a CSIRT can be performed through adversary emulation performed by so-called “red teams”. The red team’s work is primarily manual and requires high skill.","We propose SpecRep, a system to ease the testing of the detection capabilities of defenses in complex, heterogeneous infrastructures. SpecRep uses previously known attack specifications to construct attack scenarios based on attacker objectives instead of the traditional attack graphs or a list of actions. We create a metalanguage to describe objectives to be achieved in an attack together with a compiler that can build multiple attack scenarios that achieve the objectives. We use text processing tools aided by large language models to extract information from freely available white papers and convert them to plausible attack specifications that can then be emulated by SpecRep. We show how our system can emulate attacks against a smart home, a large enterprise, and an industrial control system."
10.1016/j.trc.2024.104748,Cooperative adaptable lanes for safer shared space and improved mixed-traffic flow,Dubey R.K.,"With the rapid increase in the percentage of the world's population living in cities, the design of existing transportation infrastructure requires serious consideration. Current road networks, especially in large cities, face acute pressures due to increased demand for vehicles, cyclists, and pedestrians. Although much attention has been given to improve traffic management and accommodate the increased demand via coordinating and optimizing traffic signals, research focused on adapting the static allocation of street spaces and right-of-way dynamically based on mixed traffic flow is still scarce.","This paper proposes a multi-agent reinforcement learning (RL) agent approach that cooperatively adapts the individual lane widths and right-of-way access permissions based on real-world mixed traffic flow. In particular, multiple cooperative agents are trained with mixed temporal data that learn to decide suitable lane widths for motorized vehicles, bicycles, and pedestrians, along with whether co-sharing space between pedestrians and cyclists is safe. Using a microscopic traffic simulator model of a four-legged intersection, we trained our RL agent on synthetic data, and tested it on realistic multi-modal traffic data. The proposed approach reduces the overall average waiting time and queue length by 48.9% and 37.7%, respectively, compared to the Static (baseline) street design. Additionally, we observe CALM's ability to gradually adjust lane widths, contrasting with the Heuristic implementation's erratic lane adjustments, which pose potential safety concerns. Notably, the model learns to adaptively toggle the co-sharing of street space between cyclists and pedestrians as one co-shared lane, ensuring comfort and maintaining the level of service according to the designer's policy. Finally, we demonstrate CALM's scalability on a simulated large-scale traffic network."
10.1016/j.eswa.2023.122198,HDA-IDS: A Hybrid DoS Attacks Intrusion Detection System for IoT by using semi-supervised CL-GAN,Li S.,"In recent years, the application of the internet of things (IoT) in areas such as intelligent transportation, smart cities, and the industrial internet has become increasingly widespread. As a crucial supporting infrastructure, IoT devices are utilized in various fields to construct IoT networks. However, due to the inherent limitations of IoT devices, such as limited computing resources and low memory capacity, security concerns have become increasingly prominent. Among these concerns are Denial-of-Service (DoS) and botnet attacks, which are difficult to prevent due to their large-scale and covert nature.","To address these challenges, this paper proposes a Hybrid DoS Attack Intrusion Detection System (HDA-IDS) that combines signature-based detection with anomaly-based detection to effectively identify both known and unknown DoS/botnet attacks. Additionally, this paper introduces a novel anomaly-based detection model called CL-GAN. It integrates CNN-LSTM with GAN to establish a baseline for normal behavior and detect malicious traffic. In contrast to other semi-supervised models, the CL-GAN exhibits superior accuracy, as well as shorter training and testing times, in detecting DoS and botnet attacks. In addition, experimental results demonstrate that the HDA-IDS outperforms other IDSs in detecting DoS and botnet attacks. When tested on datasets such as NSL-KDD, CICIDS2018, and Bot-IoT, the HDA-IDS achieved an average of 5% overall improvement superior performance in terms of accuracy, precision, recall, and F1-Score compared to other works. These results highlight the effectiveness of the proposed system in addressing security issues in IoT networks, and presents a general framework that addresses the challenge of large-scale attacks constructed through the dissemination of false information."
10.1109/GCCIT63234.2024.10862065,Enhancing Energy Efficiency and Security in IoTDriven Smart Cities Using Hybrid GAN-ICA Framework,Hafeezuddin M.,The rapid emergence of IoT-powered smart cities has generated substantial apprehensions regarding energy efficiency and security. Current technologies frequently fail to adequately address these concerns in a comprehensive manner.,"This study presents a hybrid framework that combines GAN with ICA to improve energy efficiency and security in smart city infrastructures. The design of the model utilizes GANs to generate synthetic data and ICA to extract independent characteristics, resulting in improved accuracy and security of IoT systems. The accuracy of our model surpassed that of previous technologies, reaching 97.5%. Additionally, our model achieved a precision of 95.0% and an F1 score of 95.6%. As a result, our model has established a new benchmark in smart city research. The results showcase the model's capacity to enhance smart city operations, rendering it a worthwhile addition to the field."
10.1109/GCCIT63234.2024.10862622,Real-Time IoT Data Analytics Using Advanced Large Language Model Techniques,Marripudugala M.,The integration of Internet of Things (IoT) technologies with advanced analytics has become critical in extracting valuable insights from continuous data streams in real-time.,"This paper explores the application of Large Language Models (LLMs) as a transformative approach to enhancing IoT data analytics. We present a novel framework that leverages LLMs for the real-time interpretation and processing of vast, diverse IoT data sets. Our methodology involves the adaptation of transformer-based architectures to handle structured and unstructured data from IoT sources, enabling immediate decision-making and actionable insights. Through rigorous experimentation, we demonstrate how LLMs can significantly improve the accuracy and speed of data analytics in IoT environments compared to traditional methods. The results underscore the potential of LLMs to revolutionize real-time data processing tasks across various industries, from smart cities to healthcare. Our study not only reinforces the applicability of LLMs in real-time analytics but also outlines future research directions for integrating AI with IoT infrastructure to achieve scalable and efficient solutions."
10.1109/CyberSciTech64112.2024.00032,Leveraging Digital Twins and Generative AI for Effective Urban Mobility Management,Canzaniello M.,"Rapid urbanization and population growth have created significant challenges in urban mobility management, including traffic congestion, inefficient public transportation, and environmental pollution.","This paper presents the development and implementation of a Digital Twin (DT) for smart mobility, designed to address these issues. The DT platform integrates a diverse range of historical and real-time data, providing a comprehensive view of urban mobility conditions. Descriptive statistics are employed to identify patterns in parking occupancy and violation frequencies, while Machine Learning and Deep Learning algorithms enhance predictive and generative analytics for forecasting parking needs and simulating scenarios with other mobility aspects. Advanced analytics uncover hidden patterns and behaviors, and visualization tools map data onto the urban layout to facilitate spatial planning and resource allocation. Scenario simulation enables urban planners to assess the impact of different strategies in a virtual environment prior to real-world implementation. The integration of Generative Artificial Intel- ligence (GenAl) models further enhances predictive capabilities and scenario generation. Preliminary results demonstrate the DT platform's potential in improving urban mobility management, particularly in optimizing parking meter placement and enhancing user experience. Although limited data availability affects long-term prediction accuracy, the model exhibits robustness and adaptability for extended forecasting horizons."
10.1109/6GNet63182.2024.10765634,The Impact of Positional Accuracy in 6G Networks on Urban Traffic Participant Classification,Langenstein F.,"The advent of 6G mobile networks promises significant advancements in wireless communications, particularly in positioning accuracy, which is expected to transform intelligent transportation systems and smart city infrastructure.","This study explores the potential of using high-precision positioning data to classify various traffic participants within urban environments, such as pedestrians, bikes, buses, motorcycles, trucks, and cars. A neural network-based model was developed and evaluated using synthetic traffic data generated by the Simulation of Urban MObility (SUMO) tool. The impact of positional accuracy on classification performance was systematically analyzed, with environments modeled at different accuracy levels, including Urban-Macro (UMa) with 10 meters accuracy and Urban-Micro (UMi) with 1 meter accuracy. The results highlight the critical role of precise positioning in enhancing classification accuracy, particularly for vehicles with similar velocity profiles, such as cars and trucks."
10.1109/VTC2024-Fall63153.2024.10757470,LINKs: Large Language Model Integrated Management for 6G Empowered Digital Twin NetworKs,Jiang S.,"In the rapidly evolving landscape of digital twins (DT) and 6G networks, the integration of large language models (LLMs) presents a novel approach to network management.","This paper explores the application of LLMs in managing 6G-empowered DT networks, with a focus on optimizing data retrieval and communication efficiency in smart city scenarios. The proposed framework leverages LLMs for intelligent DT problem analysis and radio resource management (RRM) in fully autonomous way without any manual intervention. Our proposed framework - LINKs, builds up a lazy loading strategy which can minimize transmission delay by selectively retrieving the relevant data. Based on the data retrieval plan, LLMs transform the retrieval task into an numerical optimization problem and utilizing solvers to build an optimal RRM, ensuring efficient communication across the network. Simulation results demonstrate the performance improvements in data planning and network management, highlighting the potential of LLMs to enhance the integration of DT and 6G technologies."
10.1016/B978-0-443-28884-5.00023-3,Data analytics and visualization using digital twins,Eswaran U.,"Digital twin technology has revolutionized data generation, leading to a vast number of valuable insights. However, extracting meaningful information requires sophisticated data analytics and effective visualization techniques.","This chapter provides a comprehensive technical overview of the application of data analytics and visualization in the context of digital twins. The background highlights the rapid adoption of digital twin technology and the resulting data explosion, emphasizing the need for advanced analytics approaches to unlock actionable insights from the generated data. The scope of this chapter encompasses key machine learning techniques for data preprocessing, feature extraction, and predictive modeling, as well as big data analytics tools for managing and processing large datasets. It covers various topics, including artificial intelligence, big data analytics, applications in smart cities, and emerging technologies. The problem definition centers around the challenges associated with extracting actionable insights from complex digital twin data. It addresses the need for advanced analytics methods to handle the volume, velocity, and variety of data generated by digital twins. The aim of this chapter is to provide an in-depth look at current data analytics and visualization methods used with digital twins. It aims to equip readers with a deep understanding of the techniques and tools employed to enhance data-driven decision-making in various industries. This chapter systematically examines the application of data analytics and visualization techniques in the context of digital twins. It explores machine learning approaches for data preprocessing, feature extraction, and predictive modeling. Additionally, it discusses big data analytics tools for managing and processing large datasets. The chapter contributes to the understanding of how data analytics and visualization enable digital twins to enhance decision-making processes across industries. This chapter concludes with a discussion of limitations and future directions in the field of data analytics and visualization using digital twins. It highlights the importance of real-time analytics, integration with edge computing, and leveraging emerging technologies such as blockchain and quantum computing. Overall, this chapter provides valuable insights into the techniques, challenges, and future trends in data analytics and visualization within the context of digital twins."
10.1109/ICCCNT61001.2024.10724763,The Graph Neural Network with Wasserstein Generative Adversarial Network for botnet detection in smart city IoT,Thota M.K.,One of the main risks to the security and stability of Internet of Things (IoT) networks in smart cities is botnet assaults. The identification of complex and emerging botnet attacks has not been entirely contained by traditional methods of botnet detection.,"In this study, we present a new hybrid approach, called GNN-WGAN, to efficiently detect bots in IoT-based smart city networks by integrating Graph Neural Network and Wasserstein Generative Adversarial Network. The suggested method, which ultimately aims to improve the precision and robustness against botnet detection in dynamic IoT networks, effectively uses WGANs to generate synthetic botnet traffic patterns to add more training data and GNNs to capture dependencies between and interactions across network topology. The experimental results demonstrate the effectiveness of the GNN-WGAN technique in accurately recognizing botnet activities, which enhances the security and resilience of IoT networks in smart cities."
10.1109/CNS62487.2024.10735583,mmPalm: Unlocking Ubiquitous User Authentication through Palm Recognition with mmWave Signals,Xie Y.,"Biometric authentication systems are increasingly needed across a broad range of applications including in smart city environments (e.g., entering hotels), and in smart home environments (e.g., controlling smart devices). Traditional methods, such as face-based and fingerprint-based authentication, usually incur high costs to be installed in all this kind of environments.","In this paper, we develop a ubiquitous low-effort user authentication approach, mmPalm, based on palm recognition using millimeter wave (mmWave) signals. mmWave technology has been adopted by WiGig and 5G, making mmPalm a low-cost solution that can be widely adopted in public places. In addition, the high resolution of mmWave signals allows mmPalm to extract detailed palm characteristics (e.g., palm geometry, skin thickness, and texture) that can assemble distinctive palmprints for user authentication. Our innovative virtual antennas design further increases the spatial resolution of a commercial mmWave device, enabling it to fully capture the comprehensive palmprint features. Moreover, to address the challenge of small-scale environmental changes (e.g., variations in palm-device distances and palm orientations), we design a novel palm profile augmentation method, utilizing a Conditional Generative Adversarial Network (cGAN) to generate synthetic palm profiles for mitigating palm instability. Furthermore, we design a cross-environment adaptation framework based on transfer learning to address the challenge of large-scale environmental changes, including multipath variations introduced by human bodies and nearby furniture. Extensive experiments with 30 participants through 6 months demonstrate that mmPalm achieves 99% authentication accuracy with resilience against different types of attacks, including random, impersonation, and counterfeit."
10.17705/1CAIS.05513,Deepfake at Star Isle Real Estate Group,Sipior J.C.,"This paper is a teaching case based on a fictitious company inspired by the actual experiences of employees working at a UK-based engineering group intended for use in information systems or business courses at the undergraduate or graduate level. In this teaching case, students are introduced to Star Isle Real Estate Group, Inc. (“Star Isle”), a fictitious American real estate investment, development, and management company developing a planned community named Spiral Galaxy with smart city features. The teaching case provides the opportunity for students to explore real-time video deepfakes.","This paper is a teaching case based on a fictitious company inspired by the actual experiences of employees working at a UK-based engineering group intended for use in information systems or business courses at the undergraduate or graduate level. In this teaching case, students are introduced to Star Isle Real Estate Group, Inc. (“Star Isle”), a fictitious American real estate investment, development, and management company developing a planned community named Spiral Galaxy with smart city features. The teaching case provides the opportunity for students to explore real-time video deepfakes."
