doi,title,authors,introduction,contribution
10.1145/3627673.3679109,Dataset Generation for Korean Urban Parks Analysis with Large Language Models,Kim H.,Understanding how urban parks are utilized and perceived by the public is crucial for effective urban planning and management.,"This study introduces a novel dataset derived from Instagram, using 42,187 images tagged with #Seoul and #Park hashtags from 2017 to 2023. These images were filtered using InternLM-XComposer2, a Multimodal Large Language Model (MLLM), to confirm they depicted park scenes. GPT-4 then annotated the filtered images, resulting in 29,866 valid image annotations of physical elements, human activities, animals, and emotions. The dataset is publicly available at https://huggingface.co/datasets/RedBall/seoul-urban-park-analysis-by-llm."
10.1145/3637528.3671866,ControlTraj: Controllable Trajectory Generation with Topology-Constrained Diffusion Model,Zhu Y.,"Generating trajectory data is among promising solutions to addressing privacy concerns, collection costs, and proprietary restrictions usually associated with human mobility analyses. However, existing trajectory generation methods are still in their infancy due to the inherent diversity and unpredictability of human activities, grappling with issues such as fidelity, flexibility, and generalizability.","To overcome these obstacles, we propose ControlTraj, a Controllable Trajectory generation framework with the topology-constrained diffusion model. Distinct from prior approaches, ControlTraj utilizes a diffusion model to generate high-fidelity trajectories while integrating the structural constraints of road network topology to guide the geographical outcomes. Specifically, we develop a novel road segment autoencoder to extract fine-grained road segment embedding. The encoded features, along with trip attributes, are subsequently merged into the proposed geographic denoising UNet architecture, named GeoUNet, to synthesize geographic trajectories from white noise. Through experimentation across three real-world data settings, ControlTraj demonstrates its ability to produce human-directed, high-fidelity trajectory generation with adaptability to unexplored geographical contexts."
10.1145/3640794.3665562,Improving Conversational User Interfaces for Citizen Complaint Management through enhanced Contextual Feedback,Karren K.,"As cities transform, disrupting citizens' lives, their participation in urban development is often undervalued despite its importance. Citizen complaint systems exist but are often limited in fostering meaningful dialogue with municipalities. Meanwhile, smart cities aim to improve living standards, efficiency, and sustainability by integrating digital twins with physical infrastructures, potentially enhancing transparency and enriching communication between cities and their inhabitants with real-time data. Complementing these developments, technologies realizing Conversational User Interfaces (CUIs) are becoming more capable in providing a conversational and feedback-oriented approach such as complaint management processes.","The improvement of CUIs for citizen complaint management through enhanced contextual feedback is explored in this work. The term contextual feedback has been developed and defined as all information (for example, background, conditions, explanations, timelines, and the existence of similar complaints) related to a complaint and or the underlying problem that could potentially be relevant for the user. The solution proposed in this paper gathers data from users about their issues via a CUI, which subsequently queries various data sources to obtain relevant contextual information. Following this, a Large Language Model processes the collected data to produce the corresponding feedback. In the study, a static CUI without contextual data as the baseline has been compared to a CUI that includes contextual data, analyzing their impact on pragmatic and hedonic quality, reuse intention, and potential influence on the citizens' trust in their municipality. The study has been conducted in cooperation with the German municipality of Wadgassen. The good performance of the baseline system shows the general potential of LLMs in the citizen complaint domain even without data sources. The results show that contextual feedback performed better overall, with significant improvements in the pragmatic and hedonic quality, attractiveness, reuse intention, feeling that the complaint is taken seriously, and the citizens' trust in their municipality."
10.1609/aaai.v38i1.27802,Social Physics Informed Diffusion Model for Crowd Simulation,Chen H.,"Crowd simulation holds crucial applications in various domains, such as urban planning, architectural design, and traffic arrangement. In recent years, physics-informed machine learning methods have achieved state-of-the-art performance in crowd simulation but fail to model the heterogeneity and multi-modality of human movement comprehensively.","In this paper, we propose a social physics-informed diffusion model named SPDiff to mitigate the above gap. SPDiff takes both the interactive and historical information of crowds in the current timeframe to reverse the diffusion process, thereby generating the distribution of pedestrian movement in the subsequent timeframe. Inspired by the well-known social physics model, i.e., Social Force, regarding crowd dynamics, we design a crowd interaction module to guide the denoising process and further enhance this module with the equivariant properties of crowd interactions. To mitigate error accumulation in long-term simulations, we propose a multi-frame rollout training algorithm for diffusion modeling. Experiments conducted on two real-world datasets demonstrate the superior performance of SPDiff in terms of macroscopic and microscopic evaluation metrics. Code and appendix are available at https://github.com/tsinghua-fib-lab/SPDiff."
10.5753/jisa.2024.3887,Towards a Framework to Evaluate Generative Time Series Models for Mobility Data Features,Ribeiro I.F.,"Understanding human mobility has implications for several areas, such as immigration, disease control, mobile networks performance, and urban planning. However, gathering and disseminating mobility data face challenges such as data collection, handling of missing information, and privacy protection. An alternative to tackle these problems consists of modeling raw data to generate synthetic data, preserving its characteristics while maintaining its privacy.","Thus, we propose MobDeep, a unified framework to compare and evaluate generative models of time series based on mobility data features, which considers statistical and deep learning-based modeling. To achieve its goal, MobDeep receives as input statistical or Generative Adversarial Network-based models (GANs) and the raw mobility data, and outputs synthetic data and the metrics comparing the synthetic with the original data. In such way, MobDeep allows evaluating synthetic datasets through qualitative and quantitative metrics. As a proof-of-concept, MobDeep implements one classical statistical model (ARIMA) and three GANs models. To demonstrate MobDeep on distinct mobility scenarios, we considered an open dataset containing information about bicycle rentals in US cities and a private dataset containing information about a Brazilian metropolis’s urban traffic. MobDeep allows observing how each model performs in specific scenarios, depending on the characteristics of the mobility data. Therefore, by using MobDeep researchers can evaluate their resulting models, improving the fidelity of the synthetic data regarding the original dataset."
10.3390/fi16020050,Enhancing Smart City Safety and Utilizing AI Expert Systems for Violence Detection,Kumar P.,"Violent attacks have been one of the hot issues in recent years. In the presence of closed-circuit televisions (CCTVs) in smart cities, there is an emerging challenge in apprehending criminals, leading to a need for innovative solutions.","In this paper, the propose a model aimed at enhancing real-time emergency response capabilities and swiftly identifying criminals. This initiative aims to foster a safer environment and better manage criminal activity within smart cities. The proposed architecture combines an image-to-image stable diffusion model with violence detection and pose estimation approaches. The diffusion model generates synthetic data while the object detection approach uses YOLO v7 to identify violent objects like baseball bats, knives, and pistols, complemented by MediaPipe for action detection. Further, a long short-term memory (LSTM) network classifies the action attacks involving violent objects. Subsequently, an ensemble consisting of an edge device and the entire proposed model is deployed onto the edge device for real-time data testing using a dash camera. Thus, this study can handle violent attacks and send alerts in emergencies. As a result, our proposed YOLO model achieves a mean average precision (MAP) of 89.5% for violent attack detection, and the LSTM classifier model achieves an accuracy of 88.33% for violent action classification. The results highlight the model’s enhanced capability to accurately detect violent objects, particularly in effectively identifying violence through the implemented artificial intelligence system."
10.1109/BigData62323.2024.10825138,Agentic Large Language Models for Generating Large-Scale Urban Daily Activity Patterns,Zhang Y.,"Urban daily activity patterns play an important role in fields such as urban planning and traffic management, while the powerful data generation and reasoning capabilities of LLMs (Large Language Models) have sparked a surge of interest in recent years, with applications in various domains. Inspired by their natural language processing and pattern recognition functionalities, we attempted to utilize LLMs to simulate the activity patterns of people of different ages and occupations in metropolitan areas (Tokyo). By leveraging pre-processed Person Trip data, we employed 3 methods to test the ability of LLMs to generate urban daily activity data. The results were evaluated based on metrics such as rationality, diversity, and error rates. Results indicate that the fine-tuned LLaMA-3 model is capable of accurately simulating the activity distribution patterns of metropolitan populations. Among the prompt-based strategies, the few-shot approach yielded the best performance. Although designing the instruction for prompts and post-processing the data required considerable time, the few-shot prompt strategy proved to be an effective option for this task.","Urban daily activity patterns play an important role in fields such as urban planning and traffic management, while the powerful data generation and reasoning capabilities of LLMs (Large Language Models) have sparked a surge of interest in recent years, with applications in various domains. Inspired by their natural language processing and pattern recognition functionalities, we attempted to utilize LLMs to simulate the activity patterns of people of different ages and occupations in metropolitan areas (Tokyo). By leveraging pre-processed Person Trip data, we employed 3 methods to test the ability of LLMs to generate urban daily activity data. The results were evaluated based on metrics such as rationality, diversity, and error rates. Results indicate that the fine-tuned LLaMA-3 model is capable of accurately simulating the activity distribution patterns of metropolitan populations. Among the prompt-based strategies, the few-shot approach yielded the best performance. Although designing the instruction for prompts and post-processing the data required considerable time, the few-shot prompt strategy proved to be an effective option for this task."
10.1109/CyberSciTech64112.2024.00032,Leveraging Digital Twins and Generative AI for Effective Urban Mobility Management,Canzaniello M.,"Rapid urbanization and population growth have created significant challenges in urban mobility management, including traffic congestion, inefficient public transportation, and environmental pollution.","This paper presents the development and implementation of a Digital Twin (DT) for smart mobility, designed to address these issues. The DT platform integrates a diverse range of historical and real-time data, providing a comprehensive view of urban mobility conditions. Descriptive statistics are employed to identify patterns in parking occupancy and violation frequencies, while Machine Learning and Deep Learning algorithms enhance predictive and generative analytics for forecasting parking needs and simulating scenarios with other mobility aspects. Advanced analytics uncover hidden patterns and behaviors, and visualization tools map data onto the urban layout to facilitate spatial planning and resource allocation. Scenario simulation enables urban planners to assess the impact of different strategies in a virtual environment prior to real-world implementation. The integration of Generative Artificial Intel- ligence (GenAl) models further enhances predictive capabilities and scenario generation. Preliminary results demonstrate the DT platform's potential in improving urban mobility management, particularly in optimizing parking meter placement and enhancing user experience. Although limited data availability affects long-term prediction accuracy, the model exhibits robustness and adaptability for extended forecasting horizons."
10.17705/1CAIS.05513,Deepfake at Star Isle Real Estate Group,Sipior J.C.,"This paper is a teaching case based on a fictitious company inspired by the actual experiences of employees working at a UK-based engineering group intended for use in information systems or business courses at the undergraduate or graduate level. In this teaching case, students are introduced to Star Isle Real Estate Group, Inc. (“Star Isle”), a fictitious American real estate investment, development, and management company developing a planned community named Spiral Galaxy with smart city features. The teaching case provides the opportunity for students to explore real-time video deepfakes.","This paper is a teaching case based on a fictitious company inspired by the actual experiences of employees working at a UK-based engineering group intended for use in information systems or business courses at the undergraduate or graduate level. In this teaching case, students are introduced to Star Isle Real Estate Group, Inc. (“Star Isle”), a fictitious American real estate investment, development, and management company developing a planned community named Spiral Galaxy with smart city features. The teaching case provides the opportunity for students to explore real-time video deepfakes."
10.1007/978-981-97-3682-9_72,Novel Attention-Based Framework for Person Re-identification in Video Surveillance,Cui L.,"Intelligent video surveillance systems, automatic entry and retail systems at theme parks, airport passenger flow control, and automated driving behavior analysis are a few applications where critical insights can be generated by detecting and identifying people through a camera network. In different public locations, such as train stations, airports, hospitals, shopping centers, etc., widespread camera networks are used daily, covering vast areas and having non-overlapping perspectives and providing a tremendous amount of relevant data. We cannot rely on manual monitoring to use this data efficiently for public safety applications and thus need reliable automated systems that can track the behavior of a person through several cameras. Person reidentification (PReID) is a simple task for this and plays a vital role in re-identifying persons from video surveillance cameras.","In this paper, we leverage the attention-based mechanism to re-identify persons from video surveillance cameras by using the image modality translation and CycleGAN, which served as data augmentation in our proposed network. We outperformed against all measures compared to other state-of-the-art methods."
10.1109/MDM61037.2024.00060,Deciphering Human Mobility: Inferring Semantics of Trajectories with Large Language Models,Luo Y.,"Understanding human mobility patterns is essential for various applications, from urban planning to public safety. The individual trajectory such as mobile phone location data, while rich in spatio-temporal information, often lacks semantic detail, limiting its utility for in-depth mobility analysis. Existing methods can infer basic routine activity sequences from this data, lacking depth in understanding complex human behaviors and users' characteristics. Additionally, they struggle with the dependency on hard-to-obtain auxiliary datasets like travel surveys.","To address these limitations, this paper defines trajectory semantic inference through three key dimensions: user occupation category, activity sequence, and trajectory description, and proposes the Trajectory Semantic Inference with Large Language Models (TSI-LLM) framework to leverage LLMs infer trajectory semantics comprehensively and deeply. We adopt spatio-temporal attributes enhanced data formatting (STFormat) and design a context-inclusive prompt, enabling LLMs to more effectively interpret and infer the semantics of trajectory data. Experimental validation on real-world trajectory datasets demonstrates the efficacy of TSI-LLM in deciphering complex human mobility patterns. This study explores the potential of LLMs in enhancing the semantic analysis of trajectory data, paving the way for more sophisticated and accessible human mobility research."
10.1007/978-3-031-61315-9_19,Equipping Participation Formats with Generative AI: A Case Study Predicting the Future of a Metropolitan City in the Year 2040,von Brackel-Schmidt C.,"Urban planning is a complex field that requires the integration of diverse skills, knowledge, and perspectives. Engaging the public in this process promises to achieve high acceptance for resulting endeavors but poses significant challenges, particularly due to the varying levels of technical and artistic skills among participants. Moreover, discussions and collaborative efforts in urban planning often lack practical visualization tools, making it difficult to imagine and debate future urban scenarios. Generative Artificial Intelligence (GenAI) has emerged as a promising technology capable of bridging these gaps. GenAI can generate natural language output and visual content from textual descriptions, offering a novel way to facilitate more inclusive and productive participation in urban planning processes.","In this paper, we explore the application of GenAI in a participatory urban planning event utilizing the novel Prompt-a-thon format. We conducted a study involving 64 participants who utilized GenAI in small groups to envision, design, and discuss the future urban landscape of the metropolitan city of Hamburg in Germany. Through this process, we examined the human-AI collaboration, assessing the technology's ability to accommodate varying skills and improve visualization in planning discussions. Our findings indicate that GenAI contributes to leveling diverse skill sets of participants, enabling more people to contribute insights into urban planning discussions. The technology also proved effective in overcoming visualization barriers, thus facilitating more engaging and fruitful discussions about future urban scenarios. These results underscore the potential of GenAI as a valuable tool in the evolving landscape of urban planning and public participation."
10.1007/978-3-031-63031-6_20,Multi-scale Intervention Planning Based on Generative Design,Kavouras I.,"The scarcity of green spaces, in urban environments, consists a critical challenge. There are multiple adverse effects, impacting the health and well-being of the citizens. Small scale interventions, e.g. pocket parks, is a viable solution, but comes with multiple constraints, involving the design and implementation over a specific area.","In this study, we harness the capabilities of generative AI for multi-scale intervention planning, focusing on nature based solutions. By leveraging image-to-image and image inpainting algorithms, we propose a methodology to address the green space deficit in urban areas. Focusing on two alleys in Thessaloniki, where greenery is lacking, we demonstrate the efficacy of our approach in visualizing NBS interventions. Our findings underscore the transformative potential of emerging technologies in shaping the future of urban intervention planning processes."
10.32604/cmc.2024.047836,An Enhanced Multiview Transformer for Population Density Estimation Using Cellular Mobility Data in Smart City,Zhou Y.,"This paper addresses the problem of predicting population density leveraging cellular station data. As wireless communication devices are commonly used, cellular station data has become integral for estimating population figures and studying their movement, thereby implying significant contributions to urban planning. However, existing research grapples with issues pertinent to preprocessing base station data and the modeling of population prediction. To address this, we propose methodologies for preprocessing cellular station data to eliminate any irregular or redundant data. The preprocessing reveals a distinct cyclical characteristic and high-frequency variation in population shift. Further, we devise a multi-view enhancement model grounded on the Transformer (MVformer), targeting the improvement of the accuracy of extended time-series population predictions. Comparative experiments, conducted on the above-mentioned population dataset using four alternate Transformer-based models, indicate that our proposed MVformer model enhances prediction accuracy by approximately 30% for both univariate and multivariate time-series prediction assignments. The performance of this model in tasks pertaining to population prediction exhibits commendable results.","This paper addresses the problem of predicting population density leveraging cellular station data. As wireless communication devices are commonly used, cellular station data has become integral for estimating population figures and studying their movement, thereby implying significant contributions to urban planning. However, existing research grapples with issues pertinent to preprocessing base station data and the modeling of population prediction. To address this, we propose methodologies for preprocessing cellular station data to eliminate any irregular or redundant data. The preprocessing reveals a distinct cyclical characteristic and high-frequency variation in population shift. Further, we devise a multi-view enhancement model grounded on the Transformer (MVformer), targeting the improvement of the accuracy of extended time-series population predictions. Comparative experiments, conducted on the above-mentioned population dataset using four alternate Transformer-based models, indicate that our proposed MVformer model enhances prediction accuracy by approximately 30% for both univariate and multivariate time-series prediction assignments. The performance of this model in tasks pertaining to population prediction exhibits commendable results."
10.1109/ICDT61202.2024.10489200,High-Resolution Image-to-Image Translation for Aesthetic Enhancements Using Generative Adversarial Network,Chitale M.,Urbanization poses numerous challenges in handling cities' growth and increasing populations.,"This research em-phasizes the significance of architecture enhancement in urban development and the conversion of satellite images into clear map representations using generator and discriminator models. Architectural enhancement is crucial for improving both the aesthetic appeal and functionality of buildings. Architectural enhancement through Generative Adversarial Networks (GANs) is a transformative approach to renovating old structures. This method facilitates the preservation of original design aesthetics, allowing for virtual restoration and the recreation of missing elements while ensuring accuracy. Concurrently, converting satel-lite images to precise maps aids city planning by providing a comprehensive understanding of spatial layouts and facilitating accurate land-use analysis. Hence, employing GANs enables the generation of high-resolution, realistic images that support object manipulation and diverse outcomes from a single input. This method not only enhances image synthesis techniques but also unlocks numerous applications in urban planning and design."
